SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1335 S Prairie Ave #1105,Chicago,IL,60605,799000,3,2.5,Museum Park Tower II,2076,,2003,1,385,1170,Active,,,http://www.redfin.com/IL/Chicago/1335-S-Prairie-Ave-60605/unit-1105/home/12669427,MRED,11268174,N,Y,41.8646742,-87.6207646
MLS Listing,,Single Family Residential,4944 W Roscoe St,Chicago,IL,60641,424900,4,3.5,CHI - Portage Park,2921,4173,1924,1,145,,Active,,,http://www.redfin.com/IL/Chicago/4944-W-Roscoe-St-60641/home/13459053,MRED,11268165,N,Y,41.9426263,-87.7512488
MLS Listing,,Single Family Residential,8111 S Scottsdale Ave,Chicago,IL,60652,265000,3,1,CHI - Ashburn,998,,1956,1,266,,Active,,,http://www.redfin.com/IL/Chicago/8111-S-Scottsdale-Ave-60652/home/13970844,MRED,11268170,N,Y,41.7459643,-87.7371723
MLS Listing,,Condo/Co-op,4335 N Mozart St #1,Chicago,IL,60618,325000,3,2,CHI - Irving Park,1875,,2002,1,173,248,Active,November-14-2021 11:00 AM,November-14-2021 12:30 PM,http://www.redfin.com/IL/Chicago/4335-N-Mozart-St-60618/unit-1/home/12727392,MRED,11266874,N,Y,41.9604574,-87.6993442
MLS Listing,,Single Family Residential,5736 S Loomis Blvd,Chicago,IL,60636,159900,5,2,CHI - West Englewood,1953,3123,1906,1,82,,Active,,,http://www.redfin.com/IL/Chicago/5736-S-Loomis-Blvd-60636/home/13941117,MRED,11268151,N,Y,41.7893705,-87.6598662
MLS Listing,,Single Family Residential,6619 S Saint Lawrence Ave,Chicago,IL,60619,149900,4,1,CHI - Chatham,1744,3027,1915,1,86,,Active,,,http://www.redfin.com/IL/Chicago/6619-S-St-Lawrence-Ave-60637/home/13930091,MRED,11268149,N,Y,41.7742661,-87.6103743
MLS Listing,,Condo/Co-op,2912 N Commonwealth Ave Unit 10CD,Chicago,IL,60657,1300000,4,3.5,CHI - Lake View,4500,,1929,1,289,2379,Active,,,http://www.redfin.com/IL/Chicago/2912-N-Commonwealth-Ave-60657/unit-10CD/home/104210194,MRED,11268146,N,Y,41.9348315,-87.6383318
MLS Listing,,Single Family Residential,3226 N Ozark Ave,Chicago,IL,60634,335000,4,2,CHI - Dunning,979,,1943,1,342,,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/3226-N-Ozark-Ave-60634/home/13540864,MRED,11264442,N,Y,41.938729,-87.8204904
MLS Listing,,Single Family Residential,1757 E 71st Pl,Chicago,IL,60649,279900,5,2.5,CHI - South Shore,2000,4826,,1,140,,Active,November-14-2021 01:00 PM,November-14-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1757-E-71st-Pl-60649/home/13926090,MRED,11268123,N,Y,41.7649905,-87.5814639
MLS Listing,,Townhouse,7839 S Yates Blvd #7839,Chicago,IL,60649,135000,3,2,CHI - South Shore,,,1956,1,,,Active,,,http://www.redfin.com/IL/Chicago/7839-S-Yates-Blvd-60649/unit-7839/home/177157212,MRED,11268130,N,Y,41.752384,-87.5660577
