name,artists,energy,key,mode,valence,tempo,duration_ms
God's Plan,Drake,0.449,7,1,0.357,77.169,198973
SAD!,XXXTENTACION,0.613,8,1,0.473,75.023,166606
rockstar (feat. 21 Savage),Post Malone,0.535,5,0,0.14,159.847,218147
Psycho (feat. Ty Dolla $ign),Post Malone,0.559,8,1,0.439,140.124,221440
In My Feelings,Drake,0.626,1,1,0.35,91.03,217925
Better Now,Post Malone,0.563,10,1,0.374,145.028,231267
I Like It,Cardi B,0.726,5,0,0.65,136.048,253390
One Kiss (with Dua Lipa),Calvin Harris,0.862,9,0,0.592,123.994,214847
IDGAF,Dua Lipa,0.544,7,1,0.51,97.028,217947
FRIENDS,Marshmello,0.88,9,0,0.534,95.079,202621
Havana,Camila Cabello,0.523,2,1,0.394,104.988,217307
Lucid Dreams,Juice WRLD,0.566,6,0,0.218,83.903,239836
Nice For What,Drake,0.909,8,1,0.757,93.394,210747
Girls Like You (feat. Cardi B),Maroon 5,0.541,0,1,0.448,124.959,235545
The Middle,Zedd,0.657,7,1,0.437,107.01,184732
All The Stars (with SZA),Kendrick Lamar,0.633,8,1,0.552,96.924,232187
no tears left to cry,Ariana Grande,0.713,9,0,0.354,121.993,205920
X,Nicky Jam,0.773,9,0,0.711,180.073,173628
Moonlight,XXXTENTACION,0.537,9,0,0.711,128.009,135090
Look Alive (feat. Drake),BlocBoy JB,0.581,10,1,0.595,140.022,181263
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.809,0,1,0.55,92.213,210773
Te Bot? - Remix,Nio Garcia,0.675,11,0,0.442,96.507,417920
Mine,Bazzi,0.789,4,1,0.717,142.929,131064
Youngblood,5 Seconds of Summer,0.854,7,0,0.152,120.274,203418
New Rules,Dua Lipa,0.7,9,0,0.608,116.073,209320
Shape of You,Ed Sheeran,0.652,1,0,0.931,95.977,233713
Love Lies (with Normani),Khalid,0.648,6,1,0.338,143.955,201707
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.772,10,1,0.589,153.995,164205
Jocelyn Flores,XXXTENTACION,0.391,0,0,0.437,134.021,119133
Perfect,Ed Sheeran,0.448,8,1,0.168,95.05,263400
Taste (feat. Offset),Tyga,0.559,0,1,0.342,97.994,232959
Solo (feat. Demi Lovato),Clean Bandit,0.636,11,0,0.565,105.005,222653
I Fall Apart,Post Malone,0.538,8,0,0.291,143.95,223347
Nevermind,Dennis Lloyd,0.691,3,1,0.0796,99.976,156600
?chame La Culpa,Luis Fonsi,0.889,0,1,0.649,96.024,173720
Eastside (with Halsey & Khalid),benny blanco,0.68,6,0,0.319,89.391,173800
Never Be the Same,Camila Cabello,0.713,0,1,0.243,129.923,226973
Wolves,Selena Gomez,0.807,11,0,0.305,124.946,197993
changes,XXXTENTACION,0.308,11,1,0.52,64.934,121887
In My Mind,Dynoro,0.77,6,1,0.163,125.905,184560
River (feat. Ed Sheeran),Eminem,0.749,8,0,0.659,90.09,221013
Dura,Daddy Yankee,0.848,1,1,0.828,95,200480
SICKO MODE,Travis Scott,0.73,8,1,0.446,155.008,312820
Thunder,Imagine Dragons,0.822,0,1,0.288,167.997,187147
Me Niego,Reik,0.779,0,0,0.768,94.023,221653
Jackie Chan,Ti?sto,0.834,3,0,0.687,128.005,215760
Finesse (Remix) [feat. Cardi B],Bruno Mars,0.859,5,0,0.926,105.115,217289
Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,0.724,6,1,0.508,102.061,207905
Let You Down,NF,0.721,5,0,0.468,148.066,212120
Call Out My Name,The Weeknd,0.598,1,1,0.172,134.045,228373
Ric Flair Drip (& Metro Boomin),Offset,0.428,9,1,0.333,100.007,172800
Happier,Marshmello,0.792,5,1,0.671,100.015,214290
Too Good At Goodbyes,Sam Smith,0.375,5,1,0.534,91.92,201000
Freaky Friday (feat. Chris Brown),Lil Dicky,0.599,8,1,0.755,133.123,216632
Believer,Imagine Dragons,0.78,10,0,0.666,124.949,204347
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.387,1,1,0.376,125.978,179405
Rise,Jonas Blue,0.785,1,1,0.655,106.046,194408
Body (feat. brando),Loud Luxury,0.764,1,1,0.582,121.958,163216
XO TOUR Llif3,Lil Uzi Vert,0.75,11,0,0.401,155.096,182707
Sin Pijama,Becky G,0.745,11,0,0.82,94.014,188560
2002,Anne-Marie,0.683,1,0,0.603,96.133,186987
Nonstop,Drake,0.412,7,1,0.422,154.983,238614
Fuck Love (feat. Trippie Redd),XXXTENTACION,0.533,0,0,0.329,131.036,146520
In My Blood,Shawn Mendes,0.712,5,1,0.487,140.025,211360
