Hours of Sleep,Hours Studied,Grade on Test,Grade in Class,Cups of Coffee
10.60266702,4.586891858,99,99.18729388,5
8.172996627,4.405120132,72,67.07090322,3
6.430131624,0.519630483,52,39.64469588,4
7.963793298,5.004348076,80,61.84370506,1
8.279420732,2.984488635,87,103.4950024,0
6.934083148,3.556077013,80,91.04864897,3
6.194338107,3.900699973,89,78.41402114,1
5.826423091,2.607700592,61,72.31344982,3
5.895816711,2.147275154,78,77.69997227,0
4.805755304,1.315139602,51,40.94922974,1
9.526342498,2.04365983,92,102.8017529,0
5.867436064,3.182241065,55,35.79105968,3
2,4.743829332,98,102.6707511,1
11.61734762,3.857408742,93,91.08833018,1
6.710272498,3.547458129,68,80.87767321,3
6.263684456,1.38342807,53,60.3903285,2
7.098493257,4.903777059,65,63.33988975,1
6.677356205,3.134899625,80,75.75769664,2
8.337037767,1.393084009,61,66.85354462,3
6.790429718,2.863476518,65,58.96601014,1
8.880438751,2.955195538,81,79.06653383,6
4.827915138,5.520506976,54,56.58617642,3
9.934883645,3.259941218,93,118.2748891,1
6.784387511,5.925033763,89,79.70553975,1
5.187685906,3.798079885,82,76.54670348,8
7.7971067,2.531307751,81,74.60085544,3
8.092638724,1.283701906,95,103.3564656,1
5.647226889,3.485999411,66,82.93870916,1
3.359971079,2.870988675,62,78.086002,2
5.757145716,2.017628634,57,51.02498076,1
9.543487653,5.551324576,86,76.01882918,0
8.438265685,3.996875327,91,88.74676285,3
3.87900795,1.472214015,53,50.24955923,0
8.369571886,3.404549143,51,42.82209511,1
8.913834584,4.050038062,90,83.36342422,0
8.30273138,3.32233907,69,44.21278906,3
7.302666483,5.535109904,88,91.69339844,1
4.668505644,3.463927561,77,70.40597337,0
8.982561215,5.876054999,86,77.2764345,3
9.316824926,3.301666068,77,87.47919382,1
4.30231729,0.943009887,56,68.26632291,0
5.053595905,0.359261827,52,41.56328045,1
10.01552017,3.891659801,92,83.38106817,3
7.959588272,5.838588044,71,65.87872308,1
5.883736714,1.842149187,64,73.67507345,2
12.32517415,4.251819091,76,74.25285782,3
6.008341752,5.671514758,80,78.42686031,0
9.831040687,6.723531334,90,102.6597991,1
5.277677332,1.835601859,64,70.79410174,3
8.59237049,5.049157604,84,80.48118717,0
10.52538763,5.624576603,99,91.75341167,0
3.193100322,2.3297328,62,72.43541465,4
8.29481382,3.330786317,61,68.61759985,4
